path,template,status,canonical,robots,title,title_len,h1,description_len,internal_links_out,schema_types,missing_alt
/biometric-attendance,core/solution,200,https://www.pgak.co.in/biometric-attendance,"index, follow",Biometric Attendance Without the Machine | PGAK,47,"Biometric attendance, without anyone stopping to touch a machine",140,111,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/book-demo,core/solution,200,https://www.pgak.co.in/book-demo,"index, follow",Book an AI Video Analytics Demo | PGAK,38,Better intelligence.Starts with a conversation.,144,92,BreadcrumbList;ContactPoint;Country;EntryPoint;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;SearchAction;WebPage;WebSite,0
/brochure,core/solution,200,https://www.pgak.co.in/brochure,"index, follow",PGAK Brochure — AI CCTV on Your Existing Cameras (Printable),60,PGAK — intelligent security on the cameras you already own,142,90,ContactPoint;Country;EntryPoint;ImageObject;LocalBusiness;Organization;Person;PostalAddress;SearchAction;WebSite,0
/cctv-installation-company,core/solution,200,https://www.pgak.co.in/cctv-installation-company,"index, follow",CCTV Installation Company in Punjab & India | PGAK,50,"A CCTV installation company that leaves you with alerts, not just footage",148,111,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/commercial-cctv,core/solution,200,https://www.pgak.co.in/commercial-cctv,"index, follow",Commercial CCTV Systems for Business Premises | PGAK,52,"Commercial CCTV that tells someone, instead of just recording it",161,114,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/contact,core/solution,200,https://www.pgak.co.in/contact,"index, follow",Contact PGAK — Talk to Us or Find an AI CCTV Dealer Near You,60,Let’s make your cameras intelligent.,142,94,BreadcrumbList;ContactPoint;Country;EntryPoint;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;SearchAction;WebPage;WebSite,0
/face-recognition-attendance-system,core/solution,200,https://www.pgak.co.in/face-recognition-attendance-system,"index, follow",Face Recognition Attendance System for CCTV | PGAK,50,Face recognition attendance using existing CCTV,141,110,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/factory-security,core/solution,200,https://www.pgak.co.in/factory-security,"index, follow",Factory Security System — AI CCTV for Gates & Floors | PGAK,59,AI CCTV video analytics for factory security,145,109,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/features,feature,200,https://www.pgak.co.in/features,"index, follow",20 AI CCTV Features for Indian Businesses | PGAK,48,AI CCTV features.Made clear.,157,157,BreadcrumbList;ContactPoint;Country;EntryPoint;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;SearchAction;WebPage;WebSite,0
/features/attendance-automation,feature,200,https://www.pgak.co.in/features/attendance-automation,"index, follow","Face Recognition Attendance — No Card, No Contact | PGAK",56,Face recognition attendance — 200 people logged without a queue,149,101,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/features/face-recognition,feature,200,https://www.pgak.co.in/features/face-recognition,"index, follow",CCTV Face Recognition — Know Who's There | PGAK,47,CCTV face recognition — the difference between 'someone is there' and 'who is there',129,98,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/features/false-alarm-filtering,feature,200,https://www.pgak.co.in/features/false-alarm-filtering,"index, follow",CCTV False Alarm Reduction — Cut the Noise | PGAK,49,False-alarm filtering — the feature that makes every other feature usable,146,98,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/features/guides/cross-camera-search,feature-guide,200,https://www.pgak.co.in/features/guides/cross-camera-search,"index, follow",Cross camera person and vehicle search: Uses & Setup | PGAK,59,Cross camera person and vehicle search,80,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/custom-text-alerts,feature-guide,200,https://www.pgak.co.in/features/guides/custom-text-alerts,"index, follow",AI CCTV custom alerts: Uses & Setup | PGAK,42,AI CCTV custom alerts,89,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/edge-ai,feature-guide,200,https://www.pgak.co.in/features/guides/edge-ai,"index, follow",Edge AI CCTV camera: Uses & Setup | PGAK,40,Edge AI CCTV camera,103,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/event-summaries,feature-guide,200,https://www.pgak.co.in/features/guides/event-summaries,"index, follow",AI video event summaries: Uses & Setup | PGAK,45,AI video event summaries,87,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/loitering,feature-guide,200,https://www.pgak.co.in/features/guides/loitering,"index, follow",CCTV loitering detection: Uses & Setup | PGAK,45,CCTV loitering detection,80,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/low-light-ai,feature-guide,200,https://www.pgak.co.in/features/guides/low-light-ai,"index, follow",AI CCTV camera night vision: Uses & Setup | PGAK,48,AI CCTV camera night vision,81,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/natural-language-search,feature-guide,200,https://www.pgak.co.in/features/guides/natural-language-search,"index, follow",Natural language video search: Uses & Setup | PGAK,50,Natural language video search,117,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/number-plates,feature-guide,200,https://www.pgak.co.in/features/guides/number-plates,"index, follow",ANPR camera for Indian number plates: Uses & Setup | PGAK,57,ANPR camera for Indian number plates,91,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/object-classification,feature-guide,200,https://www.pgak.co.in/features/guides/object-classification,"index, follow",Human and vehicle detection CCTV: Uses & Setup | PGAK,53,Human and vehicle detection CCTV,97,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/onsite-learning,feature-guide,200,https://www.pgak.co.in/features/guides/onsite-learning,"index, follow",Custom object detection CCTV: Uses & Setup | PGAK,49,Custom object detection CCTV,91,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/people-counting,feature-guide,200,https://www.pgak.co.in/features/guides/people-counting,"index, follow",People counting camera for retail stores: Uses & Setup | PGAK,61,People counting camera for retail stores,83,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/ppe-detection,feature-guide,200,https://www.pgak.co.in/features/guides/ppe-detection,"index, follow",AI PPE detection camera: Uses & Setup | PGAK,44,AI PPE detection camera,82,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/privacy-masking,feature-guide,200,https://www.pgak.co.in/features/guides/privacy-masking,"index, follow",AI face privacy masking CCTV: Uses & Setup | PGAK,49,AI face privacy masking CCTV,64,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/ptz-tracking,feature-guide,200,https://www.pgak.co.in/features/guides/ptz-tracking,"index, follow",AI auto tracking PTZ camera: Uses & Setup | PGAK,48,AI auto tracking PTZ camera,80,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/queue-analytics,feature-guide,200,https://www.pgak.co.in/features/guides/queue-analytics,"index, follow",CCTV queue management analytics: Uses & Setup | PGAK,52,CCTV queue management analytics,81,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/scene-change,feature-guide,200,https://www.pgak.co.in/features/guides/scene-change,"index, follow",AI CCTV scene change detection: Uses & Setup | PGAK,51,AI CCTV scene change detection,77,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/smoke-flame,feature-guide,200,https://www.pgak.co.in/features/guides/smoke-flame,"index, follow",Video smoke and flame detection: Uses & Setup | PGAK,52,Video smoke and flame detection,84,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/sound-classification,feature-guide,200,https://www.pgak.co.in/features/guides/sound-classification,"index, follow",AI audio detection CCTV: Uses & Setup | PGAK,44,AI audio detection CCTV,76,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/tailgating,feature-guide,200,https://www.pgak.co.in/features/guides/tailgating,"index, follow",CCTV tailgating detection for access control: Uses & Setup | PGAK,65,CCTV tailgating detection for access control,69,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/guides/virtual-perimeter,feature-guide,200,https://www.pgak.co.in/features/guides/virtual-perimeter,"index, follow",AI CCTV intrusion detection: Uses & Setup | PGAK,48,AI CCTV intrusion detection,91,96,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/features/intrusion-alerts,feature,200,https://www.pgak.co.in/features/intrusion-alerts,"index, follow",Real-Time CCTV Intrusion Alerts to Your Phone | PGAK,52,Real-time intrusion alerts — because evidence at 9am is not security,141,98,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/features/loitering-detection,feature,200,https://www.pgak.co.in/features/loitering-detection,"index, follow",Loitering Detection CCTV — Spot It Before the Theft | PGAK,58,"Loitering detection — theft has a shape, and it starts with standing still",145,98,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/features/vehicle-and-anpr,feature,200,https://www.pgak.co.in/features/vehicle-and-anpr,"index, follow",ANPR & Vehicle Recognition — Every Gate Logged | PGAK,53,Vehicle and number plate recognition — the gate register that writes itself,145,98,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/free-audit,core/solution,200,https://www.pgak.co.in/free-audit,"index, follow",Free AI Readiness Audit of Your CCTV Cameras | PGAK,51,A free AI readiness audit of the cameras you already have,148,97,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/hospital-security,core/solution,200,https://www.pgak.co.in/hospital-security,"index, follow",Hospital Security System — AI CCTV for Wards & Wings | PGAK,59,Hospital security for a building that never closes,135,107,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/industrial-cctv,core/solution,200,https://www.pgak.co.in/industrial-cctv,"index, follow",Industrial CCTV for Factories & Warehouses | PGAK,49,Industrial CCTV for sites too big for anyone to watch,150,114,Answer;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;Service;WebPage;WebSite,0
/insights,core/solution,200,https://www.pgak.co.in/insights,"index, follow","AI CCTV Guides — Detection, Attendance & Setup | PGAK",53,"Security, explained straight.",133,171,Blog;BlogPosting;BreadcrumbList;ContactPoint;Country;EntryPoint;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;SearchAction;WebPage;WebSite,0
/insights/1000-alerts-only-one-is-real,insight,200,https://www.pgak.co.in/insights/1000-alerts-only-one-is-real,"index, follow","1,000 alerts. Only one is real. | PGAK",38,"1,000 alerts. Only one is real.",142,98,BlogPosting;BreadcrumbList;ContactPoint;Country;EntryPoint;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;SearchAction;WebPage;WebSite,0
/insights/aadhaar-based-attendance-and-aebas-explained,insight,200,https://www.pgak.co.in/insights/aadhaar-based-attendance-and-aebas-explained,"index, follow","Aadhaar Based Attendance and AEBAS, Explained | PGAK",52,"Aadhaar based attendance and AEBAS, explained plainly",152,107,Answer;BlogPosting;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/insights/add-ai-to-existing-cctv-cameras,insight,200,https://www.pgak.co.in/insights/add-ai-to-existing-cctv-cameras,"index, follow",Can you add AI to CCTV cameras you already own? | PGAK,54,Can you add AI to CCTV cameras you already own?,71,102,Answer;BlogPosting;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
/insights/ai-cctv-false-alarms-how-to-reduce,insight,200,https://www.pgak.co.in/insights/ai-cctv-false-alarms-how-to-reduce,"index, follow",Why your CCTV alerts got muted — and how to fix it | PGAK,57,"Why your CCTV alerts got muted, and how to earn them back",150,99,Answer;BlogPosting;BreadcrumbList;ContactPoint;Country;EntryPoint;FAQPage;ImageObject;ListItem;LocalBusiness;Organization;Person;PostalAddress;Question;SearchAction;WebPage;WebSite,0
